Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month,Outliers
1657,-1128298955,1,1,0.232,14536,3370.267,0.232,0,0,22-4,0
1657,19436702,1,2,0.09,33689,3024.933,0.12,0.042,0.5,22-4,0
1657,19436695,1,3,0.109,29899,3264.5,0.113,0.011,0.18,22-4,0
1657,-19436707,1,5,0.283,12006,3395.133,0.292,0.019,0.168,22-4,0
1644,1209148295,1,4,0.111,13424,1488.333,0.129,0.021,0.309,22-4,0
1644,-1232873730,1,5,0.127,12814,1633.1,0.117,0.006,0.14,22-4,0
1644,1127089607,1,3,0.115,12958,1486.233,0.119,0.007,0.111,22-4,0
1644,-1209148383,1,4,0.152,10041,1527.267,0.166,0.031,0.436,22-4,0
1666,-23369340,1,1,0.531,17883,9487.633,0.531,0,0,22-4,0
1666,1169389460,1,1,0.887,13384,11866.4,0.887,0,0,22-4,0
1666,23369296,1,1,0.728,14108,10266.133,0.728,0,0,22-4,0
1666,-1169390100,1,3,0.44,24565,10814.1,0.264,0.153,1.013,22-4,0
1703,-859453482000,1,1,0.279,18191,5073.467,0.279,0,0,22-4,0
1703,859453480000,1,1,0.163,33195,5408.433,0.163,0,0,22-4,0
1703,-854764073000,1,3,0.077,66199,5077.6,0.114,0.048,0.801,22-4,0
1703,1161737752000,1,5,0.125,86275,10783.667,0.077,0.028,0.88,22-4,0
1768,-125430400,1,1,0.34,14907,5069.433,0.34,0,0,22-4,0
1768,1283211085,1,1,0.099,37579,3715.267,0.099,0,0,22-4,0
1768,-125430412,1,1,0.173,29144,5045,0.173,0,0,22-4,0
1768,125430402,1,1,0.288,17586,5056.8,0.288,0,0,22-4,0
1715,119052255,1,1,0.347,26753,9286.1,0.347,0,0,22-4,0
1715,-1268540891,1,1,0.217,24664,5340.267,0.217,0,0,22-4,0
1715,-1268540892,1,1,0.287,28540,8195.9,0.287,0,0,22-4,0
1715,1243920800,1,2,0.246,20186,4974.667,0.234,0.018,0.11,22-4,0
1726,-855359206000,1,1,0.34,17194,5841.7,0.34,0,0,22-4,0
1726,1196096622000,1,2,0.186,32190,5997.633,0.181,0.008,0.064,22-4,0
1726,-1222493122000,1,5,0.254,43170,10986.2,0.152,0.061,0.966,22-4,0
1726,-109015279000,1,5,3.936,1295,5097.467,4.214,0.588,0.315,22-4,0
1726,109015284000,1,5,0.14,44853,6270.333,0.177,0.059,0.796,22-4,0
1813,1171013699,1,1,0.168,21270,3573.1,0.168,0,0,22-4,0
1813,-16990691,1,3,0.161,20292,3261.7,0.211,0.054,0.512,22-4,0
1813,-867315011,1,1,0.173,22639,3915.8,0.173,0,0,22-4,0
1813,1171055412,1,4,0.384,24269,9316,0.212,0.115,1.107,22-4,0
1840,-1122786024,1,2,0.518,10708,5545.633,0.368,0.213,0.818,22-4,0
1840,945796966,1,2,0.283,9122,2578.8,0.451,0.238,0.747,22-4,0
1840,-19437854,1,2,0.187,12486,2330.933,0.314,0.181,0.813,22-4,0
1840,1125627821,1,3,0.36,15253,5493.867,0.214,0.126,1.037,22-4,0
1844,-1123874504000,1,2,0.31,5727,1776.767,0.476,0.234,0.696,22-4,0
1844,-125432940000,1,3,0.338,9422,3182.533,0.219,0.103,0.827,22-4,0
1844,1123867857000,1,5,0.363,3813,1384.433,0.462,0.146,0.761,22-4,0
1844,1123876184000,1,3,0.696,6969,4848.833,0.379,0.274,1.26,22-4,0
1845,1152718934000,1,3,0.317,6848,2173.933,0.303,0.014,0.091,22-4,0
1845,1152718952000,1,1,0.3,5398,1617.367,0.3,0,0,22-4,0
1845,-1126019401000,1,3,0.16,8771,1404.867,0.161,0.002,0.025,22-4,0
1845,-110492041000,1,3,0.249,8797,2191.8,0.243,0.014,0.103,22-4,0
1843,958022448000,1,2,0.421,16434,6914.733,0.319,0.143,0.634,22-4,0
1843,-1203530071000,1,3,0.871,8773,7643.733,0.556,0.273,0.862,22-4,0
1843,1126001768000,1,4,0.22,19253,4230.733,0.295,0.149,1.105,22-4,0
1843,-1125994266000,1,3,0.245,13275,3248.533,0.385,0.131,0.673,22-4,0
1232,1163030329,1,4,0.098,75087,7391.833,0.085,0.013,0.346,22-4,0
1232,-1163031204,1,4,0.066,82375,5449.133,0.075,0.014,0.396,22-4,0
1081,109011093,1,2,9.201,592,5447.1,12.883,5.206,0.572,22-4,0
1238,-1171083844,1,1,0.648,4879,3162.419,0.648,0,0,22-5,0
1238,125335652,1,1,0.487,12099,5893.032,0.487,0,0,22-5,0
1238,16992389,1,2,0.236,12012,2833.097,0.375,0.197,0.743,22-5,0
1238,-16992391,1,3,0.362,7304,2647.419,0.502,0.205,0.748,22-5,0
1238,1171086908,1,2,7.386,515,3803.774,6.885,0.708,0.145,22-5,0
1287,-1231876948,1,5,2.101,470,987.613,2.196,0.134,0.143,22-5,0
1287,1262671919,1,6,0.06,3246,194.484,0.047,0.012,0.679,22-5,0
1287,1215155884,1,3,0.095,13744,1306.355,0.097,0.005,0.11,22-5,0
1287,43014377,1,5,0.064,17903,1141.516,0.06,0.009,0.411,22-5,0
1287,909430617,1,7,0.09,18509,1657.935,0.072,0.016,0.532,22-5,0
1287,-1215156205,1,7,0.148,9215,1364,0.13,0.022,0.438,22-5,0
1936,1128029472,1,3,0.099,22052,2184.935,0.175,0.102,1.098,22-5,0
1936,-1128033747,1,3,0.1,25729,2574.806,0.096,0.004,0.078,22-5,0
1469,-1128444525,1,1,0.086,86988,7441.355,0.086,0,0,22-5,0
1469,-1128444530,1,2,0.089,77814,6917.71,0.085,0.006,0.097,22-5,0
1469,1128444249,1,2,0.057,133668,7585.129,0.056,0.001,0.02,22-5,0
1469,119978696,1,2,0.061,147430,8982.419,0.057,0.006,0.137,22-5,0
1652,-722322112,1,1,0.176,15904,2797.355,0.176,0,0,22-5,0
1652,19436956,1,2,0.172,17803,3063.71,0.164,0.012,0.103,22-5,0
564,-1228817885,1,2,0.2,12477,2496.774,0.204,0.005,0.036,22-5,0
564,18869501,1,1,0.128,22180,2829.226,0.128,0,0,22-5,0
564,-907428782,1,4,0.308,16622,5121.516,0.18,0.086,0.999,22-5,0
564,907428779,1,4,0.104,23339,2424.387,0.12,0.056,0.977,22-5,0
1657,-1128298955,1,1,0.222,14991,3333,0.222,0,0,22-5,0
1657,19436702,1,2,0.097,30724,2969.548,0.129,0.046,0.503,22-5,0
1657,19436695,1,3,0.122,26589,3241.387,0.126,0.012,0.177,22-5,0
1657,-19436707,1,5,0.173,19416,3368.226,0.18,0.012,0.167,22-5,0
1644,1209148295,1,4,0.204,6835,1395.323,0.237,0.039,0.316,22-5,0
1644,1127089607,1,3,0.138,10164,1402.032,0.144,0.009,0.117,22-5,0
1644,-1209148383,1,4,0.098,14164,1395.032,0.108,0.021,0.451,22-5,0
1644,-1232873730,1,5,0.107,14060,1501.581,0.098,0.005,0.141,22-5,0
1666,-115725155,1,1,7.818,1454,11367.806,7.818,0,0,22-5,0
1666,-23369340,1,1,0.285,32946,9396.613,0.285,0,0,22-5,0
1666,1169389460,1,1,0.561,18610,10439.516,0.561,0,0,22-5,0
1666,23369296,1,1,0.656,13737,9007.839,0.656,0,0,22-5,0
